zip,state,value,latitude,longitude,county
7661,new jersey,500,40.927579,-74.03739,bergen
7704,new jersey,3200,40.360581,-74.03738,monmouth
12083,new york,0,42.430684,-74.03728,greene
12518,new york,0,41.434476,-74.03584,orange
7716,new jersey,1225,40.407958,-74.03483,monmouth
7649,new jersey,256,40.953126,-74.03379,bergen
7762,new jersey,6550,40.153024,-74.03372,monmouth
7030,new jersey,18495,40.744851,-74.03294,hudson
7675,new jersey,7400,40.99904,-74.03291,bergen
12009,new york,10400,42.698692,-74.03148,albany
7712,new jersey,4250,40.232713,-74.03143,monmouth
12473,new york,0,42.260709,-74.03078,greene
7087,new jersey,500,40.767751,-74.0302,hudson
11209,new york,112247,40.62327,-74.0295,kings
7603,new jersey,6049,40.873876,-74.02769,bergen
7630,new jersey,4750,40.97514,-74.02725,bergen
12431,new york,0,42.361838,-74.02471,greene
12470,new york,0,42.284773,-74.02388,greene
7660,new jersey,790,40.856749,-74.02278,bergen
12401,new york,50,41.932315,-74.02259,ulster
7086,new jersey,5141,40.769796,-74.022351,hudson
7755,new jersey,0,40.263575,-74.02176,monmouth
10984,new york,0,41.208327,-74.02105,rockland
7047,new jersey,9825,40.7946,-74.01963,hudson
7646,new jersey,500,40.936211,-74.0188,bergen
10280,new york,3455,40.707467,-74.0178,new york
10965,new york,4876,41.063329,-74.01734,rockland
7717,new jersey,2750,40.191809,-74.01688,monmouth
7764,new jersey,0,40.289985,-74.01671,monmouth
12463,new york,0,42.174411,-74.01599,greene
11220,new york,7475,40.641436,-74.01574,kings
10282,new york,31664,40.717179,-74.01433,new york
12520,new york,5400,41.442589,-74.01389,orange
7720,new jersey,0,40.202113,-74.01353,monmouth
10006,new york,51265,40.707904,-74.01342,new york
10954,new york,5453,41.100182,-74.0133,rockland
7757,new jersey,2000,40.318115,-74.01239,monmouth
7093,new jersey,18830,40.7895,-74.01223,hudson
11228,new york,13450,40.617563,-74.01168,kings
10980,new york,1000,41.231408,-74.01157,rockland
7666,new jersey,110007,40.890964,-74.01115,bergen
10271,new york,65183,40.708669,-74.01043,new york
7756,new jersey,750,40.211982,-74.00916,monmouth
10005,new york,32627,40.706019,-74.00858,new york
10279,new york,750,40.713062,-74.00857,new york
12413,new york,0,42.307982,-74.008,greene
12475,new york,0,42.017632,-74.007868,ulster
10007,new york,69977,40.714754,-74.00721,new york
7711,new jersey,2100,40.236916,-74.0069,monmouth
10014,new york,239569,40.734718,-74.00532,new york
10013,new york,237315,40.720666,-74.00526,new york
11232,new york,1000,40.655481,-74.00424,kings
7657,new jersey,0,40.832421,-74.00399,bergen
10278,new york,0,40.715721,-74.00395,new york
